"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMIN","TOBS"
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-01-01",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-01-02",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-01-03",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-01-04",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-01-05",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-01-06",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-01-07",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-01-08",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-01-09",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-01-10",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-01-11",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-01-12",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-01-13",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-01-14",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-01-15",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-01-16",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-01-17",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-01-18",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-01-19",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-01-20",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-01-21",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-01-22",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-01-23",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-01-24",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-01-25",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-01-26",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-02-02",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-02-03",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-02-04",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-02-05",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-02-06",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-02-07",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-02-08",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-02-09",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-02-10",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-02-11",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-02-12",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-02-13",,,
"US1NYTM0003","ITHACA 1.1 SE, NY US","42.431732","-76.4886","198.1","2022-02-14",,,
